#;;;
#;Cross section name aliases for RFM6 / English language setting;;
#;;;
#;;;
#;;;
#;;;
#;;;
#;name;alias;visible name
#;;;
EU;HD 320 x 158;HHD 320x158 | ASTM A 6/A 6M | SZS;
EU;HD 360 x 162;HHD 360x162 | ASTM A 6/A 6M | SZS;
EU;HD 260 x 172;HHD 260x172 | ASTM A 6/A 6M | SZS;
EU;HD 360 x 179;HHD 360x179 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 187;HHD 400x187 | ASTM A 6/A 6M | SZS;
EU;HD 360 x 196;HHD 360x196 | ASTM A 6/A 6M | SZS;
EU;HD 320 x 198;HHD 320x198 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 216;HHD 400x216 | ASTM A 6/A 6M | SZS;
EU;HD 260 x 225;HHD 260x225 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 237;HHD 400x237 | ASTM A 6/A 6M | SZS;
EU;HD 320 x 245;HHD 320x245 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 262;HHD 400x262 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 287;HHD 400x287 | ASTM A 6/A 6M | SZS;
EU;HD 260 x 299;HHD 260x299 | ASTM A 6/A 6M | SZS;
EU;HD 320 x 300;HHD 320x300 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 314;HHD 400x314 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 347;HHD 400x347 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 382;HHD 400x382 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 421;HHD 400x421 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 463;HHD 400x463 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 509;HHD 400x509 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 551;HHD 400x551 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 592;HHD 400x592 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 634;HHD 400x634 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 677;HHD 400x677 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 744;HHD 400x744 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 818;HHD 400x818 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 900;HHD 400x900 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 990;HHD 400x990 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 1086;HHD 400x1086 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 1202;HHD 400x1202 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 1299;HHD 400x1299 | ASTM A 6/A 6M | SZS;
#;;;
#;;;
#;;;
#;;;
#;;;
#;;;
#;;;
#;name;;
#;;;
EU;HP 200 x 43;"HP 200x43 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 200 x 53;"HP 200x53 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 220 x 57;"HP 220x57 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 260 x 75;"HP 260x75 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 305 x 79;"HP 305x79 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 260 x 87;"HP 260x87 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 305 x 88;"HP 305x88 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 320 x 88;"HP 320x88 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 305 x 95;"HP 305x95 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 320 x 103;"HP 320x103 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 360 x 109;"HP 360x109 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 305 x 110;"HP 305x110 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 320 x 117;"HP 320x117 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 400 x 122;"HP 400x122 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 305 x 126;"HP 305x126 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 360 x 133;"HP 360x133 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 400 x 140;"HP 400x140 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 320 x 147;"HP 320x147 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 305 x 149;"HP 305x149 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 360 x 152;"HP 360x152 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 400 x 158;"HP 400x158 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 360 x 174;"HP 360x174 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 400 x 176;"HP 400x176 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 305 x 180;"HP 305x180 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 360 x 180;"HP 360x180 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 320 x 184;"HP 320x184 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 305 x 186;"HP 305x186 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 400 x 194;"HP 400x194 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 400 x 213;"HP 400x213 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 305 x 223;"HP 305x223 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 400 x 231;"HP 400x231 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
#;;;
#;;;
#;;;
#;;;
#;;;
#;;;
#;;;
#;name;;
#;;;
UK;UB 127 x 76 x 13;UB 127x76x13;
UK;UB 152 x 89 x 16;UB 152x89x16;
UK;UB 178 x 102 x 19;UB 178x102x19;
UK;UB 254 x 102 x 22;UB 254x102x22;
UK;UB 203 x 102 x 23;UB 203x102x23;
UK;UB 305 x 102 x 25;UB 305x102x25;
UK;UB 203 x 133 x 25;UB 203x133x25;
UK;UB 254 x 102 x 25;UB 254x102x25;
UK;UB 305 x 102 x 28;UB 305x102x28;
UK;UB 254 x 102 x 28;UB 254x102x28;
UK;UB 203 x 133 x 30;UB 203x133x30;
UK;UB 254 x 146 x 31;UB 254x146x31;
UK;UB 305 x 102 x 33;UB 305x102x33;
UK;UB 356 x 127 x 33;UB 356x127x33;
UK;UB 254 x 146 x 37;UB 254x146x37;
UK;UB 305 x 127 x 37;UB 305x127x37;
UK;UB 406 x 140 x 39;UB 406x140x39;
UK;UB 356 x 127 x 39;UB 356x127x39;
UK;UB 305 x 165 x 40;UB 305x165x40;
UK;UB 305 x 127 x 42;UB 305x127x42;
UK;UB 254 x 146 x 43;UB 254x146x43;
UK;UB 356 x 171 x 45;UB 356x171x45;
UK;UB 406 x 140 x 46;UB 406x140x46;
UK;UB 305 x 165 x 46;UB 305x165x46;
UK;UB 305 x 127 x 48;UB 305x127x48;
UK;UB 356 x 171 x 51;UB 356x171x51;
UK;UB 457 x 152 x 52;UB 457x152x52;
UK;UB 305 x 165 x 54;UB 305x165x54;
UK;UB 406 x 178 x 54;UB 406x178x54;
UK;UB 356 x 171 x 57;UB 356x171x57;
UK;UB 457 x 152 x 60;UB 457x152x60;
UK;UB 406 x 178 x 60;UB 406x178x60;
UK;UB 356 x 171 x 67;UB 356x171x67;
UK;UB 457 x 191 x 67;UB 457x191x67;
UK;UB 406 x 178 x 67;UB 406x178x67;
UK;UB 457 x 152 x 67;UB 457x152x67;
UK;UB 457 x 152 x 74;UB 457x152x74;
UK;UB 406 x 178 x 74;UB 406x178x74;
UK;UB 457 x 191 x 74;UB 457x191x74;
UK;UB 457 x 152 x 82;UB 457x152x82;
UK;UB 457 x 191 x 82;UB 457x191x82;
UK;UB 533 x 210 x 82;UB 533x210x82;
UK;UB 457 x 191 x 89;UB 457x191x89;
UK;UB 533 x 210 x 92;UB 533x210x92;
UK;UB 457 x 191 x 98;UB 457x191x98;
UK;UB 533 x 210 x 101;UB 533x210x101;
UK;UB 610 x 229 x 101;UB 610x229x101;
UK;UB 533 x 210 x 109;UB 533x210x109;
UK;UB 610 x 229 x 113;UB 610x229x113;
UK;UB 533 x 210 x 122;UB 533x210x122;
UK;UB 610 x 229 x 125;UB 610x229x125;
UK;UB 686 x 254 x 125;UB 686x254x125;
UK;UB 762 x 267 x 134;UB 762x267x134;
UK;UB 610 x 229 x 140;UB 610x229x140;
UK;UB 686 x 254 x 140;UB 686x254x140;
UK;UB 762 x 267 x 147;UB 762x267x147;
UK;UB 610 x 305 x 149;UB 610x305x149;
UK;UB 686 x 254 x 152;UB 686x254x152;
UK;UB 686 x 254 x 170;UB 686x254x170;
UK;UB 762 x 267 x 173;UB 762x267x173;
UK;UB 838 x 292 x 176;UB 838x292x176;
UK;UB 610 x 305 x 179;UB 610x305x179;
UK;UB 838 x 292 x 194;UB 838x292x194;
UK;UB 762 x 267 x 197;UB 762x267x197;
UK;UB 914 x 305 x 201;UB 914x305x201;
UK;UB 1016 x 305 x 222;UB 1016x305x222;
UK;UB 914 x 305 x 224;UB 914x305x224;
UK;UB 838 x 292 x 226;UB 838x292x226;
UK;UB 610 x 305 x 238;UB 610x305x238;
UK;UB 914 x 305 x 238;UB 914x305x238;
UK;UB 1016 x 305 x 249;UB 1016x305x249;
UK;UB 914 x 305 x 253;UB 914x305x253;
UK;UB 914 x 305 x 271;UB 914x305x271;
UK;UB 1016 x 305 x 272;UB 1016x305x272;
UK;UB 914 x 305 x 289;UB 914x305x289;
UK;UB 914 x 305 x 313;UB 914x305x313;
UK;UB 1016 x 305 x 314;UB 1016x305x314;
UK;UB 914 x 419 x 343;UB 914x419x343;
UK;UB 914 x 305 x 345;UB 914x305x345;
UK;UB 1016 x 305 x 350;UB 1016x305x350;
UK;UB 914 x 305 x 381;UB 914x305x381;
UK;UB 914 x 419 x 388;UB 914x419x388;
UK;UB 1016 x 305 x 393;UB 1016x305x393;
UK;UB 1016 x 305 x 415;UB 1016x305x415;
UK;UB 914 x 305 x 425;UB 914x305x425;
UK;UB 1016 x 305 x 438;UB 1016x305x438;
UK;UB 914 x 305 x 474;UB 914x305x474;
UK;UB 1016 x 305 x 494;UB 1016x305x494;
UK;UB 914 x 305 x 521;UB 914x305x521;
UK;UB 914 x 305 x 576;UB 914x305x576;
UK;UB 1016 x 305 x 584;UB 1016x305x584;
#;;;
#;;;
#;;;
#;;;
#;;;
#;;;
#;;;
#;name;;
#;;;
UK;UC 152 x 152 x 23;UC 152x152x23;
UK;UC 152 x 152 x 30;UC 152x152x30;
UK;UC 152 x 152 x 37;UC 152x152x37;
UK;UC 203 x 203 x 46;UC 203x203x46;
UK;UC 203 x 203 x 52;UC 203x203x52;
UK;UC 203 x 203 x 60;UC 203x203x60;
UK;UC 203 x 203 x 71;UC 203x203x71;
UK;UC 254 x 254 x 73;UC 254x254x73;
UK;UC 203 x 203 x 86;UC 203x203x86;
UK;UC 254 x 254 x 89;UC 254x254x89;
UK;UC 305 x 305 x 97;UC 305x305x97;
UK;UC 254 x 254 x 107;UC 254x254x107;
UK;UC 305 x 305 x 118;UC 305x305x118;
UK;UC 356 x 368 x 129;UC 356x368x129;
UK;UC 254 x 254 x 132;UC 254x254x132;
UK;UC 305 x 305 x 137;UC 305x305x137;
UK;UC 356 x 368 x 153;UC 356x368x153;
UK;UC 305 x 305 x 158;UC 305x305x158;
UK;UC 254 x 254 x 167;UC 254x254x167;
UK;UC 356 x 368 x 177;UC 356x368x177;
UK;UC 305 x 305 x 198;UC 305x305x198;
UK;UC 356 x 368 x 202;UC 356x368x202;
UK;UC 356 x 406 x 235;UC 356x406x235;
UK;UC 305 x 305 x 240;UC 305x305x240;
UK;UC 305 x 305 x 283;UC 305x305x283;
UK;UC 356 x 406 x 287;UC 356x406x287;
UK;UC 356 x 406 x 340;UC 356x406x340;
UK;UC 356 x 406 x 393;UC 356x406x393;
UK;UC 356 x 406 x 467;UC 356x406x467;
UK;UC 356 x 406 x 509;UC 356x406x509;
UK;UC 356 x 406 x 551;UC 356x406x551;
UK;UC 356 x 406 x 592;UC 356x406x592;
UK;UC 356 x 406 x 634;UC 356x406x634;
UK;UC 356 x 406 x 677;UC 356x406x677;
UK;UC 356 x 406 x 744;UC 356x406x744;
UK;UC 356 x 406 x 818;UC 356x406x818;
UK;UC 356 x 406 x 900;UC 356x406x900;
UK;UC 356 x 406 x 990;UC 356x406x990;
UK;UC 356 x 406 x 1086;UC 356x406x1086;
UK;UC 356 x 406 x 1202;UC 356x406x1202;
UK;UC 356 x 406 x 1299;UC 356x406x1299;
#;;;
#;;;
#;;;
#;;;
#;;;
#;;;
#;;;
#;name;;
#;;;
UK;UBP 203 x 203 x 45;UBP 203x203x45;
UK;UBP 203 x 203 x 54;UBP 203x203x54;
UK;UBP 254 x 254 x 63;UBP 254x254x63;
UK;UBP 254 x 254 x 71;UBP 254x254x71;
UK;UBP 305 x 305 x 79;UBP 305x305x79;
UK;UBP 254 x 254 x 85;UBP 254x254x85;
UK;UBP 305 x 305 x 88;UBP 305x305x88;
UK;UBP 305 x 305 x 95;UBP 305x305x95;
UK;UBP 356 x 368 x 109;UBP 356x368x109;
UK;UBP 305 x 305 x 110;UBP 305x305x110;
UK;UBP 305 x 305 x 126;UBP 305x305x126;
UK;UBP 356 x 368 x 133;UBP 356x368x133;
UK;UBP 305 x 305 x 149;UBP 305x305x149;
UK;UBP 356 x 368 x 152;UBP 356x368x152;
UK;UBP 356 x 368 x 174;UBP 356x368x174;
UK;UBP 305 x 305 x 186;UBP 305x305x186;
UK;UBP 305 x 305 x 223;UBP 305x305x223;
#;;;
#;;;
#;;;
#;;;
#;;;
#;;;
#;;;
#;name;;
#;;;
US;W6X8.5;W 6x8.5 | AISC 16 | --;
US;W6X9;W 6x9 | AISC 16 | --;
US;W8X10;W 8x10 | AISC 16 | --;
US;W10X12;W 10x12 | AISC 16 | --;
US;W6X12;W 6x12 | AISC 16 | --;
US;W4X13;W 4x13 | AISC 16 | --;
US;W8X13;W 8x13 | AISC 16 | --;
US;W12X14;W 12x14 | AISC 16 | --;
US;W10X15;W 10x15 | AISC 16 | --;
US;W6X15;W 6x15 | AISC 16 | --;
US;W8X15;W 8x15 | AISC 16 | --;
US;W12X16;W 12x16 | AISC 16 | --;
US;W5X16;W 5x16 | AISC 16 | --;
US;W6X16;W 6x16 | AISC 16 | --;
US;W10X17;W 10x17 | AISC 16 | --;
US;W8X18;W 8x18 | AISC 16 | --;
US;W5X19;W 5x19 | AISC 16 | --;
US;W12X19;W 12x19 | AISC 16 | --;
US;W10X19;W 10x19 | AISC 16 | --;
US;W6X20;W 6x20 | AISC 16 | --;
US;W8X21;W 8x21 | AISC 16 | --;
US;W12X22;W 12x22 | AISC 16 | --;
US;W14X22;W 14x22 | AISC 16 | --;
US;W10X22;W 10x22 | AISC 16 | --;
US;W8X24;W 8x24 | AISC 16 | --;
US;W6X25;W 6x25 | AISC 16 | --;
US;W10X26;W 10x26 | AISC 16 | --;
US;W12X26;W 12x26 | AISC 16 | --;
US;W16X26;W 16x26 | AISC 16 | --;
US;W14X26;W 14x26 | AISC 16 | --;
US;W8X28;W 8x28 | AISC 16 | --;
US;W12X30;W 12x30 | AISC 16 | --;
US;W10X30;W 10x30 | AISC 16 | --;
US;W14X30;W 14x30 | AISC 16 | --;
US;W16X31;W 16x31 | AISC 16 | --;
US;W8X31;W 8x31 | AISC 16 | --;
US;W10X33;W 10x33 | AISC 16 | --;
US;W14X34;W 14x34 | AISC 16 | --;
US;W18X35;W 18x35 | AISC 16 | --;
US;W12X35;W 12x35 | AISC 16 | --;
US;W8X35;W 8x35 | AISC 16 | --;
US;W16X36;W 16x36 | AISC 16 | --;
US;W14X38;W 14x38 | AISC 16 | --;
US;W10X39;W 10x39 | AISC 16 | --;
US;W12X40;W 12x40 | AISC 16 | --;
US;W8X40;W 8x40 | AISC 16 | --;
US;W18X40;W 18x40 | AISC 16 | --;
US;W16X40;W 16x40 | AISC 16 | --;
US;W14X43;W 14x43 | AISC 16 | --;
US;W21X44;W 21x44 | AISC 16 | --;
US;W12X45;W 12x45 | AISC 16 | --;
US;W16X45;W 16x45 | AISC 16 | --;
US;W10X45;W 10x45 | AISC 16 | --;
US;W18X46;W 18x46 | AISC 16 | --;
US;W21X48;W 21x48 | AISC 16 | --;
US;W14X48;W 14x48 | AISC 16 | --;
US;W8X48;W 8x48 | AISC 16 | --;
US;W10X49;W 10x49 | AISC 16 | --;
US;W12X50;W 12x50 | AISC 16 | --;
US;W21X50;W 21x50 | AISC 16 | --;
US;W18X50;W 18x50 | AISC 16 | --;
US;W16X50;W 16x50 | AISC 16 | --;
US;W14X53;W 14x53 | AISC 16 | --;
US;W12X53;W 12x53 | AISC 16 | --;
US;W10X54;W 10x54 | AISC 16 | --;
US;W24X55;W 24x55 | AISC 16 | --;
US;W21X55;W 21x55 | AISC 16 | --;
US;W18X55;W 18x55 | AISC 16 | --;
US;W21X57;W 21x57 | AISC 16 | --;
US;W16X57;W 16x57 | AISC 16 | --;
US;W12X58;W 12x58 | AISC 16 | --;
US;W8X58;W 8x58 | AISC 16 | --;
US;W18X60;W 18x60 | AISC 16 | --;
